"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","3.70","3.90","3.97","3.63","56.46K","-5.09%"
"Apr 29, 2020","3.90","3.65","3.99","3.64","35.31K","6.83%"
"Apr 28, 2020","3.65","3.64","3.73","3.55","22.84K","0.00%"
"Apr 27, 2020","3.64","3.72","3.73","3.47","31.55K","-2.15%"
"Apr 26, 2020","3.72","3.75","3.81","3.67","41.15K","-0.72%"
"Apr 25, 2020","3.75","3.78","3.90","3.75","14.47K","-0.79%"
"Apr 24, 2020","3.78","3.72","3.87","3.72","18.11K","1.48%"
"Apr 23, 2020","3.72","3.66","3.90","3.60","26.40K","1.86%"
"Apr 22, 2020","3.66","3.45","3.68","3.45","23.77K","6.00%"
"Apr 21, 2020","3.45","3.44","3.55","3.39","24.73K","0.42%"
"Apr 20, 2020","3.44","3.59","3.77","3.39","40.81K","-4.40%"
"Apr 19, 2020","3.59","3.78","3.80","3.52","41.70K","-4.92%"
"Apr 18, 2020","3.78","3.45","3.82","3.45","31.61K","9.53%"
"Apr 17, 2020","3.45","3.45","3.51","3.39","23.23K","0.00%"
"Apr 16, 2020","3.45","3.11","3.54","2.98","75.74K","10.44%"
"Apr 15, 2020","3.12","3.24","3.30","3.11","27.38K","-3.58%"
"Apr 14, 2020","3.24","3.37","3.43","3.21","27.64K","-3.91%"
"Apr 13, 2020","3.37","3.41","3.46","3.21","38.56K","-1.03%"
"Apr 12, 2020","3.41","3.30","3.62","3.17","67.86K","3.31%"
"Apr 11, 2020","3.30","3.21","3.44","3.07","89.88K","2.83%"
"Apr 10, 2020","3.21","3.32","3.32","2.95","94.10K","-3.42%"
"Apr 09, 2020","3.32","3.15","3.46","3.12","60.05K","5.50%"
"Apr 08, 2020","3.15","2.72","3.27","2.72","68.67K","15.54%"
"Apr 07, 2020","2.72","2.56","2.91","2.56","124.07K","6.53%"
"Apr 06, 2020","2.56","2.27","2.56","2.27","28.00K","12.81%"
"Apr 05, 2020","2.27","2.30","2.32","2.25","18.41K","-1.64%"
"Apr 04, 2020","2.30","2.30","2.33","2.26","20.16K","0.34%"
"Apr 03, 2020","2.30","2.29","2.38","2.27","19.88K","0.24%"
"Apr 02, 2020","2.29","2.28","2.44","2.25","25.03K","0.61%"
"Apr 01, 2020","2.28","2.26","2.30","2.15","22.04K","0.87%"
"Mar 31, 2020","2.26","2.16","2.30","2.12","23.03K","4.51%"
"Mar 30, 2020","2.16","2.02","2.20","2.02","14.83K","7.04%"
"Mar 29, 2020","2.02","2.14","2.15","2.01","24.75K","-5.55%"
"Mar 28, 2020","2.14","2.14","2.15","2.04","33.22K","0.61%"
"Mar 27, 2020","2.12","2.29","2.36","2.11","16.39K","-7.24%"
"Mar 26, 2020","2.29","2.25","2.30","2.21","11.45K","1.78%"
"Mar 25, 2020","2.25","2.32","2.33","2.19","24.50K","-3.12%"
"Mar 24, 2020","2.32","2.25","2.37","2.20","27.20K","3.22%"
"Mar 23, 2020","2.25","1.99","2.29","1.94","66.04K","12.94%"
"Mar 22, 2020","1.99","2.28","2.33","1.95","49.76K","-12.27%"
"Mar 21, 2020","2.27","2.26","2.37","2.11","143.68K","0.68%"
"Mar 20, 2020","2.26","2.25","2.62","2.02","140.57K","0.40%"
"Mar 19, 2020","2.25","1.95","2.37","1.89","93.42K","15.83%"
"Mar 18, 2020","1.94","1.88","1.94","1.76","59.97K","3.38%"
"Mar 17, 2020","1.88","1.78","2.07","1.75","105.23K","5.56%"
"Mar 16, 2020","1.78","2.10","2.10","1.57","202.14K","-15.51%"
"Mar 15, 2020","2.10","2.14","2.39","2.02","63.13K","-1.78%"
"Mar 14, 2020","2.14","2.40","2.49","2.07","57.55K","-10.79%"
"Mar 13, 2020","2.40","2.00","2.70","1.38","228.19K","20.04%"
"Mar 12, 2020","2.00","3.83","3.83","1.83","310.00K","-47.77%"
"Mar 11, 2020","3.83","4.13","4.13","3.57","42.09K","-7.25%"
"Mar 10, 2020","4.13","4.12","4.20","3.93","69.67K","0.19%"
"Mar 09, 2020","4.12","4.04","4.37","3.63","84.63K","1.92%"
"Mar 08, 2020","4.04","4.33","4.44","3.86","89.64K","-6.55%"
"Mar 07, 2020","4.33","4.69","4.69","4.33","23.26K","-7.68%"
"Mar 06, 2020","4.69","4.71","4.75","4.56","36.07K","-0.43%"
"Mar 05, 2020","4.71","4.63","4.94","4.63","72.66K","1.58%"
"Mar 04, 2020","4.63","4.59","4.98","4.54","135.18K","1.04%"
"Mar 03, 2020","4.59","4.24","4.67","4.15","54.11K","8.41%"
"Mar 02, 2020","4.23","3.87","4.33","3.83","40.59K","9.37%"
"Mar 01, 2020","3.87","4.07","4.24","3.77","34.43K","-4.97%"
"Feb 29, 2020","4.07","4.18","4.34","4.07","32.47K","-2.64%"
"Feb 28, 2020","4.18","3.95","4.24","3.76","58.34K","5.89%"
"Feb 27, 2020","3.95","3.56","4.13","3.43","45.59K","9.85%"
"Feb 26, 2020","3.59","3.50","3.85","3.32","55.95K","2.67%"
"Feb 25, 2020","3.50","3.92","3.96","3.50","41.54K","-10.74%"
"Feb 24, 2020","3.92","4.25","4.27","3.80","76.12K","-7.69%"
"Feb 23, 2020","4.25","4.09","4.38","4.09","26.41K","3.97%"
"Feb 22, 2020","4.09","4.30","4.31","4.06","18.34K","-5.07%"
"Feb 21, 2020","4.30","4.26","4.50","4.20","17.71K","0.97%"
"Feb 20, 2020","4.26","4.38","4.47","4.07","52.19K","-2.59%"
"Feb 19, 2020","4.38","4.54","4.87","4.22","78.31K","-3.58%"
"Feb 18, 2020","4.54","4.31","4.63","4.15","51.04K","5.43%"
"Feb 17, 2020","4.30","4.45","4.53","3.86","80.57K","-3.21%"
"Feb 16, 2020","4.45","4.29","4.86","4.02","138.56K","3.67%"
"Feb 15, 2020","4.29","4.42","4.62","4.08","81.76K","-3.04%"
"Feb 14, 2020","4.42","3.87","4.46","3.80","36.92K","14.28%"
"Feb 13, 2020","3.87","4.00","4.10","3.73","37.14K","-3.27%"
"Feb 12, 2020","4.00","4.00","4.20","3.84","42.43K","0.00%"
"Feb 11, 2020","4.00","3.40","4.00","3.37","37.79K","17.66%"
"Feb 10, 2020","3.40","3.49","3.49","3.29","29.83K","-2.48%"
"Feb 09, 2020","3.49","3.43","3.52","3.25","55.17K","1.64%"
"Feb 08, 2020","3.43","3.33","3.48","3.12","40.39K","3.05%"
